Chr	Cluster_Pos	Num_Reads	Most_Common_Flag	Orientation	Soft_Clips
3	4663110	5	83	Unknown	right:5
3	4663388	5	83	Unknown	right:5
3	4664218	5	99	Unknown	left:5
3	4669127	5	83	Unknown	right:5
3	4671806	5	147	Unknown	right:5
3	4672864	5	163	Unknown	right:5
3	4672898	5	147	Unknown	left:5
3	4674445	15	99	Unknown	left:15
3	4674613	5	83	Unknown	right:5
3	4677401	5	83	Unknown	right:5
3	4677654	15	83	Unknown	right:15
3	4683506	5	83	Unknown	right:5
3	4683587	5	83	Unknown	right:5
3	4685582	5	163	Unknown	right:5
3	4690203	10	83	Unknown	right:10
3	4690496	5	99	Unknown	left:5
3	4691019	20	83	Unknown	right:20
3	4691159	10	83	Unknown	right:10
3	4691621	5	83	Unknown	right:5
3	4692306	5	83	Unknown	right:5
3	4692817	10	147	Reverse	left:5, right:5
3	4693576	5	147	Unknown	left:5
3	4695402	10	147	Reverse	left:5, right:5
3	4695481	10	163	Forward	right:5, left:5
3	4696306	5	147	Unknown	left:5
3	4701403	10	147	Reverse	left:5, right:5
3	4701813	5	83	Unknown	right:5
3	4704495	5	83	Unknown	right:5
3	4707290	10	99	Reverse	right:5, left:5
3	4707792	10	99	Unknown	left:10
3	4708493	20	163	Forward	right:10, left:10
3	4708586	5	83	Unknown	right:5
3	4713033	5	99	Unknown	left:5
3	4713851	5	163	Unknown	right:5
3	4715000	10	83	Forward	left:5, right:5
3	4715885	15	99	Unknown	left:15
3	4718532	5	83	Unknown	right:5
3	4720731	20	83	Unknown	right:20
3	4720920	5	83	Unknown	left:5
3	4722528	5	83	Unknown	right:5
3	4723883	10	83	Unknown	right:10
3	4725510	5	147	Unknown	left:5
3	4728501	5	163	Unknown	left:5
3	4731557	5	99	Unknown	left:5
3	4731809	5	163	Unknown	right:5
3	4731862	5	147	Unknown	left:5
3	4732980	5	83	Unknown	right:5
3	4735473	10	163	Forward	right:5, left:5
3	4736412	15	99	Reverse	right:10, left:5
3	4736567	5	147	Unknown	left:5
3	4741619	5	99	Unknown	left:5
3	4741880	5	83	Unknown	right:5
3	4742084	10	163	Forward	right:5, left:5
3	4742825	5	99	Unknown	left:5
3	4743046	10	99	Unknown	left:10
3	4748719	10	99	Unknown	right:10
3	4748803	10	83	Unknown	left:10
3	4749966	10	83	Unknown	right:10
3	4752441	5	163	Unknown	right:5
3	4757860	10	99	Reverse	right:5, left:5
3	4760879	5	99	Unknown	left:5
3	4763526	10	163	Forward	right:5, left:5
3	4764394	5	163	Unknown	right:5
3	4764479	10	147	Unknown	left:10
3	4767759	20	99	Reverse	right:10, left:10
3	4770913	5	163	Unknown	right:5
3	4771951	20	161	Unknown	right:20
3	4772620	5	83	Unknown	right:5
3	4774878	5	83	Unknown	right:5
3	4782645	10	99	Unknown	left:10
3	4783564	10	99	Reverse	right:5, left:5
3	4798793	20	99	Unknown	left:20
3	4800176	5	99	Unknown	left:5
3	4801391	5	99	Unknown	left:5
3	4803801	5	147	Unknown	left:5
3	4805398	5	99	Unknown	right:5
3	4805535	10	99	Unknown	left:10
3	4806817	5	147	Unknown	left:5
3	4807878	5	83	Unknown	right:5
3	4811012	5	83	Unknown	right:5
3	4811987	10	163	Forward	right:5, left:5
3	4813734	10	163	Unknown	left:10
3	4814858	5	99	Unknown	left:5
3	4821404	10	163	Forward	right:5, left:5
3	4823572	5	83	Unknown	right:5
3	4824727	5	99	Unknown	left:5
3	4826309	5	83	Unknown	left:5
3	4826638	5	99	Unknown	right:5
3	4826651	5	83	Unknown	left:5
3	4826670	5	99	Unknown	right:5
3	4828539	5	83	Unknown	right:5
3	4828638	5	163	Unknown	right:5
3	4829430	15	99	Unknown	left:15
3	4830760	10	147	Reverse	left:5, right:5
3	4830919	5	83	Unknown	right:5
3	4831417	5	163	Unknown	right:5
3	4831517	5	163	Unknown	right:5
3	4834480	5	83	Unknown	right:5
3	4835611	10	147	Reverse	left:5, right:5
3	4837162	5	147	Unknown	left:5
3	4843244	5	99	Unknown	right:5
3	4843436	10	163	Forward	right:5, left:5
3	4843785	5	163	Unknown	right:5
3	4843883	5	83	Unknown	left:5
3	4845089	10	147	Reverse	left:5, right:5
3	4849510	10	147	Reverse	left:5, right:5
3	4854386	5	83	Unknown	right:5
3	4858269	5	83	Unknown	right:5
3	4861358	5	177	Unknown	left:5
3	4862863	5	99	Unknown	right:5
3	4863187	5	99	Unknown	right:5
3	4863480	5	99	Unknown	left:5
3	4863539	5	97	Unknown	right:5
3	4864511	10	83	Forward	left:5, right:5
3	4866880	5	99	Unknown	right:5
3	4870003	5	99	Unknown	left:5
3	4872896	5	99	Unknown	left:5
3	4873343	5	161	Unknown	right:5
3	4876837	5	147	Unknown	right:5
3	4877395	5	83	Unknown	right:5
3	4877630	10	163	Unknown	left:10
3	4879634	25	99	Unknown	left:25
3	4879839	10	99	Unknown	left:10
3	4879924	10	147	Reverse	left:5, right:5
3	4886673	10	147	Reverse	left:5, right:5
3	4886828	10	99	Reverse	right:5, left:5
3	4890645	5	99	Unknown	right:5
3	4893092	20	163	Forward	right:10, left:10
3	4899163	10	99	Reverse	right:5, left:5
3	4901088	5	99	Unknown	left:5
3	4903142	5	99	Unknown	left:5
3	4903347	5	83	Unknown	right:5
3	4908328	5	83	Unknown	right:5
3	4913893	5	83	Unknown	right:5
3	4916538	10	83	Unknown	right:10
3	4917510	5	99	Unknown	right:5
3	4919172	15	83	Unknown	right:15
3	4921565	5	83	Unknown	right:5
3	4921838	5	99	Unknown	left:5
3	4922266	10	147	Reverse	left:5, right:5
3	4922677	10	99	Reverse	right:5, left:5
3	4925821	10	99	Reverse	right:5, left:5
3	4925993	10	83	Unknown	right:10
3	4926012	5	83	Unknown	right:5
3	4926888	5	83	Unknown	right:5
3	4927733	5	83	Unknown	right:5
3	4929704	10	163	Forward	right:5, left:5
3	4929729	10	99	Reverse	right:5, left:5
3	4929810	5	99	Unknown	right:5
3	4929880	5	147	Unknown	left:5
3	4931195	5	99	Unknown	left:5
3	4932866	5	147	Unknown	left:5
3	4934727	5	99	Unknown	left:5
3	4936772	5	163	Unknown	right:5
3	4939117	5	99	Unknown	left:5
3	4939635	5	99	Unknown	left:5
3	4941678	5	83	Unknown	right:5
3	4943024	5	99	Unknown	left:5
3	4943737	10	163	Unknown	right:10
3	4943801	15	147	Unknown	left:15
3	4944077	10	147	Reverse	left:5, right:5
3	4947360	10	163	Forward	left:10
3	4951041	10	163	Forward	right:5, left:5
3	4951749	5	83	Unknown	right:5
3	4959371	5	163	Unknown	left:5
3	4961487	5	99	Unknown	left:5
3	4961890	10	147	Reverse	left:5, right:5
3	4964392	10	99	Unknown	left:10
3	4964406	10	147	Unknown	left:10
3	4969127	5	163	Unknown	right:5
3	4971289	10	99	Reverse	right:5, left:5
3	4975358	5	99	Unknown	left:5
3	4979492	10	99	Unknown	right:10
3	4979610	10	147	Unknown	left:10
3	4980635	20	99	Reverse	right:10, left:10
3	4982827	5	147	Unknown	left:5
3	4984819	5	99	Unknown	left:5
3	4987603	5	83	Unknown	right:5
3	4988900	5	163	Unknown	right:5
3	4989849	10	99	Unknown	left:10
3	4990434	5	163	Unknown	left:5
3	4991732	5	83	Unknown	right:5
3	4996409	10	99	Reverse	right:5, left:5
3	4998114	5	99	Unknown	right:5
3	5000838	15	83	Unknown	right:15
3	5001512	5	83	Unknown	left:5
3	5002832	5	163	Unknown	left:5
3	5004024	5	99	Unknown	right:5
3	5009980	10	83	Unknown	right:10
3	5013365	5	163	Unknown	left:5
3	5015094	5	99	Unknown	left:5
3	5015531	5	83	Unknown	right:5
3	5017064	5	83	Unknown	right:5
3	5018341	5	147	Unknown	left:5
3	5018406	5	99	Unknown	right:5
3	5021236	5	83	Unknown	right:5
3	5022426	5	83	Unknown	right:5
3	5023122	5	83	Unknown	right:5
3	5024596	5	83	Unknown	left:5
3	5024709	5	147	Unknown	left:5
3	5025110	5	83	Unknown	left:5
3	5025591	10	83	Unknown	right:10
3	5028310	5	99	Unknown	left:5
3	5033895	5	99	Unknown	right:5
3	5037670	10	83	Unknown	right:10
3	5043570	10	147	Reverse	left:5, right:5
3	5045450	5	147	Unknown	right:5
3	5055298	5	147	Unknown	right:5
3	5055318	5	147	Unknown	right:5
3	5055759	5	147	Unknown	left:5
3	5057120	10	163	Forward	right:5, left:5
3	5062277	5	99	Unknown	left:5
3	5067002	5	99	Unknown	left:5
3	5071705	10	163	Forward	right:5, left:5
3	5071861	5	99	Unknown	left:5
3	5072152	15	99	Unknown	left:15
3	5072798	10	99	Reverse	right:5, left:5
3	5073899	5	99	Unknown	right:5
3	5081085	10	163	Forward	right:5, left:5
3	5081481	5	99	Unknown	left:5
3	5081941	10	147	Unknown	left:10
3	5082498	5	83	Unknown	right:5
3	5084031	20	99	Unknown	left:20
3	5085632	5	83	Unknown	right:5
3	5087215	5	147	Unknown	right:5
3	5087572	5	83	Unknown	right:5
3	5087658	5	99	Unknown	left:5
3	5089152	10	163	Forward	right:5, left:5
3	5096309	5	163	Unknown	left:5
3	5099889	5	99	Unknown	left:5
3	5100997	5	163	Unknown	right:5
3	5103573	5	147	Unknown	right:5
3	5105027	5	83	Unknown	right:5
3	5108516	15	99	Unknown	left:15
3	5111211	5	99	Unknown	left:5
3	5113154	10	147	Reverse	left:5, right:5
3	5117514	10	163	Forward	right:5, left:5
3	5118833	5	83	Unknown	right:5
3	5120714	5	163	Unknown	right:5
3	5120828	20	83	Uncertain or multiple	left:20
3	5123063	5	163	Unknown	right:5
3	5123583	5	83	Unknown	right:5
3	5124920	5	99	Unknown	left:5
3	5125061	5	83	Unknown	right:5
3	5130763	20	99	Reverse	right:10, left:10
3	5131861	5	99	Unknown	left:5
3	5135388	5	83	Unknown	right:5
3	5136728	5	99	Unknown	left:5
3	5137534	10	129	Unknown	right:10
3	5137567	5	65	Unknown	right:5
3	5137587	5	97	Unknown	right:5
3	5137605	5	177	Unknown	right:5
3	5138116	10	83	Unknown	right:10
3	5139835	5	83	Unknown	right:5
3	5140959	5	99	Unknown	right:5
3	5142051	10	147	Reverse	left:5, right:5
3	5142974	5	163	Unknown	left:5
3	5143005	10	99	Reverse	right:5, left:5
3	5144634	5	99	Unknown	left:5
3	5147900	5	99	Unknown	left:5
3	5148068	10	163	Forward	right:5, left:5
3	5149073	10	163	Unknown	right:10
3	5149088	10	83	Unknown	left:10
3	5150605	10	163	Forward	right:5, left:5
3	5151848	5	83	Unknown	right:5
3	5152981	5	99	Unknown	left:5
3	5154023	20	163	Forward	right:10, left:10
3	5155567	10	163	Forward	right:5, left:5
3	5155867	10	99	Unknown	left:10
3	5156129	20	99	Reverse	right:10, left:10
3	5156299	15	147	Unknown	right:15
3	5156422	5	99	Unknown	right:5
3	5156436	10	163	Unknown	right:10
3	5156458	10	83	Uncertain or multiple	left:10
3	5157655	10	147	Reverse	left:5, right:5
3	5161574	10	147	Reverse	left:5, right:5
3	5162006	5	83	Unknown	right:5
3	5164452	5	83	Unknown	right:5
3	5165099	5	97	Unknown	right:5
3	5165546	10	147	Reverse	left:5, right:5
3	5165718	5	83	Unknown	left:5
3	5168208	10	163	Forward	both:5, left:5
3	5168555	5	83	Unknown	right:5
3	5171044	10	83	Unknown	right:10
3	5172959	5	163	Unknown	right:5
3	5173382	5	147	Unknown	left:5
3	5175419	5	147	Unknown	right:5
3	5178641	5	83	Unknown	left:5
3	5182803	5	163	Unknown	right:5
3	5183322	10	147	Uncertain or multiple	left:10
3	5186032	10	163	Forward	right:5, left:5
3	5187634	5	83	Unknown	right:5
3	5190783	5	83	Unknown	left:5
3	5199186	10	83	Forward	left:5, right:5
3	5200711	5	147	Unknown	right:5
3	5202123	5	83	Unknown	right:5
3	5203256	5	99	Unknown	left:5
3	5207294	10	99	Reverse	right:5, left:5
3	5212716	5	147	Unknown	left:5
3	5213693	5	83	Unknown	right:5
3	5215232	10	99	Unknown	left:10
3	5215953	10	163	Forward	right:5, left:5
3	5216456	5	147	Unknown	right:5
3	5219545	5	83	Unknown	left:5
3	5219642	5	83	Unknown	left:5
3	5222822	5	99	Unknown	right:5
3	5222893	5	99	Unknown	left:5
3	5222927	20	147	Uncertain or multiple	left:20
3	5223169	5	99	Unknown	left:5
3	5227470	5	83	Unknown	right:5
3	5227889	10	147	Reverse	left:5, right:5
3	5228493	5	147	Unknown	right:5
3	5229419	5	83	Unknown	right:5
3	5230058	10	163	Forward	right:5, left:5
3	5230136	10	99	Reverse	right:5, left:5
3	5231549	5	99	Unknown	left:5
3	5232993	5	163	Unknown	right:5
3	5233309	25	99	Uncertain or multiple	right:25
3	5233440	5	163	Unknown	left:5
3	5233451	5	99	Unknown	left:5
3	5234393	10	99	Reverse	both:5, left:5
3	5235243	5	99	Unknown	left:5
3	5237638	10	163	Forward	right:5, left:5
3	5239333	5	99	Unknown	left:5
3	5240538	5	83	Unknown	right:5
3	5241813	10	83	Unknown	right:10
3	5242566	5	99	Unknown	left:5
3	5245089	5	99	Unknown	left:5
3	5245982	5	163	Unknown	left:5
3	5247975	20	147	Uncertain or multiple	left:20
3	5248389	5	163	Unknown	right:5
3	5248406	5	83	Unknown	right:5
3	5248531	20	147	Uncertain or multiple	left:20
3	5248900	10	83	Forward	left:5, right:5
3	5250105	5	83	Unknown	right:5
3	5251806	5	129	Unknown	right:5
3	5256865	5	99	Unknown	left:5
3	5259054	5	99	Unknown	right:5
3	5259163	20	177	Unknown	both:15, left:5
3	5260365	10	81	Unknown	left:10
3	5262303	10	99	Unknown	left:10
3	5263003	5	163	Unknown	right:5
3	5263056	5	147	Unknown	left:5
3	5263162	10	163	Forward	right:5, left:5
3	5265958	5	99	Unknown	right:5
3	5265981	5	99	Unknown	right:5
3	5266022	5	99	Unknown	right:5
3	5270062	5	83	Unknown	right:5
3	5270390	5	83	Unknown	right:5
3	5271071	10	99	Unknown	left:10
3	5274926	5	83	Unknown	right:5
3	5276813	5	99	Unknown	left:5
3	5277969	65	163	Uncertain or multiple	left:65
3	5277997	5	163	Unknown	right:5
3	5278025	10	177	Unknown	left:10
3	5278145	20	163	Unknown	left:20
3	5278915	5	163	Unknown	left:5
3	5279066	10	99	Unknown	right:10
3	5279083	20	83	Uncertain or multiple	right:20
3	5279096	20	163	Unknown	right:20
3	5279192	40	99	Forward	left:40
3	5279878	10	99	Unknown	left:10
3	5280838	5	83	Unknown	right:5
3	5280846	5	99	Unknown	right:5
3	5280852	10	99	Unknown	right:10
3	5280990	5	83	Unknown	left:5
3	5281020	15	163	Uncertain or multiple	right:15
3	5281042	10	147	Uncertain or multiple	right:10
3	5281069	35	163	Uncertain or multiple	left:35
3	5281366	5	163	Unknown	right:5
3	5281374	5	97	Unknown	right:5
3	5281381	15	97	Unknown	right:15
3	5281394	20	97	Unknown	right:20
3	5281410	70	83	Uncertain or multiple	right:70
3	5281444	10	83	Unknown	right:10
3	5282077	70	99	Uncertain or multiple	left:65, both:5
3	5282177	10	83	Unknown	right:10
3	5282220	10	147	Reverse	left:5, right:5
3	5282901	10	83	Forward	left:5, right:5
3	5284366	20	99	Unknown	left:20
3	5285528	5	65	Unknown	right:5
3	5285534	35	129	Uncertain or multiple	right:35
3	5285556	20	129	Uncertain or multiple	right:20
3	5285576	15	147	Uncertain or multiple	right:15
3	5285617	5	83	Unknown	right:5
3	5285629	5	147	Unknown	right:5
3	5285659	20	99	Unknown	left:20
3	5286241	5	83	Unknown	left:5
3	5286285	5	83	Unknown	right:5
3	5286585	15	147	Unknown	right:15
3	5286595	5	65	Unknown	right:5
3	5286617	5	97	Unknown	right:5
3	5286629	5	147	Unknown	right:5
3	5286649	30	129	Unknown	right:30
3	5286699	5	83	Unknown	right:5
3	5287186	10	147	Reverse	left:5, right:5
3	5290421	5	83	Unknown	left:5
3	5293048	5	163	Unknown	right:5
3	5293227	5	83	Unknown	right:5
3	5296750	20	83	Unknown	right:20
3	5299908	20	163	Forward	right:10, left:10
3	5301202	5	83	Unknown	right:5
3	5304291	5	83	Unknown	right:5
3	5305660	5	99	Unknown	right:5
3	5305675	5	163	Unknown	right:5
3	5306384	5	99	Unknown	left:5
3	5310536	5	99	Unknown	left:5
3	5310686	10	83	Forward	left:5, right:5
3	5311543	10	99	Reverse	right:5, left:5
3	5314323	10	147	Reverse	left:5, right:5
3	5315405	5	83	Unknown	right:5
3	5315671	5	99	Unknown	left:5
3	5318624	10	163	Forward	right:5, left:5
3	5319138	10	83	Forward	left:5, right:5
3	5319181	10	147	Reverse	left:5, right:5
3	5319625	5	147	Unknown	left:5
3	5322097	10	163	Forward	right:5, left:5
3	5327360	5	83	Unknown	right:5
3	5327743	15	163	Unknown	right:15
3	5327770	50	163	Reverse	right:50
3	5327787	5	163	Unknown	right:5
3	5327820	5	83	Unknown	right:5
3	5327844	55	99	Forward	left:55
3	5330388	5	83	Unknown	right:5
3	5330456	5	163	Unknown	right:5
3	5330629	5	83	Unknown	right:5
3	5331751	10	163	Forward	right:5, left:5
3	5333233	5	83	Unknown	right:5
3	5334619	15	83	Unknown	right:15
3	5336081	10	163	Forward	right:5, left:5
3	5336342	5	99	Unknown	left:5
3	5339165	5	147	Unknown	left:5
3	5340975	5	99	Unknown	left:5
3	5341506	15	99	Reverse	left:15
3	5341569	10	99	Unknown	left:10
3	5347899	5	147	Unknown	right:5
3	5348407	5	163	Unknown	right:5
3	5348605	5	99	Unknown	left:5
3	5348866	5	147	Unknown	left:5
3	5352447	5	163	Unknown	left:5
3	5354661	10	163	Forward	both:5, left:5
3	5354981	5	99	Unknown	left:5
3	5356209	5	163	Unknown	right:5
3	5362029	5	83	Unknown	right:5
3	5368872	5	83	Unknown	right:5
3	5371974	5	99	Unknown	right:5
3	5372290	10	163	Unknown	right:10
3	5372303	5	163	Unknown	right:5
3	5374037	5	163	Unknown	right:5
3	5374166	5	147	Unknown	left:5
3	5374505	5	83	Unknown	right:5
3	5375069	10	83	Forward	left:5, right:5
3	5378558	5	83	Unknown	right:5
3	5380446	10	163	Forward	right:5, left:5
3	5380760	5	99	Unknown	right:5
3	5382796	5	99	Unknown	left:5
3	5383978	5	147	Unknown	right:5
3	5387676	10	163	Forward	right:5, left:5
3	5388178	10	147	Reverse	left:5, right:5
3	5391192	10	163	Forward	right:5, left:5
3	5391698	5	99	Unknown	left:5
3	5391802	5	147	Unknown	left:5
3	5393224	5	83	Unknown	both:5
3	5395740	5	99	Unknown	left:5
3	5398579	10	163	Forward	right:5, both:5
3	5402614	10	99	Reverse	right:5, left:5
3	5404314	10	99	Reverse	right:5, left:5
3	5405117	10	99	Reverse	right:5, left:5
3	5408618	5	99	Unknown	right:5
3	5408698	5	163	Unknown	right:5
3	5408704	5	99	Unknown	right:5
3	5415756	10	163	Forward	right:5, left:5
3	5416826	10	163	Forward	right:5, left:5
3	5417376	10	163	Forward	right:5, left:5
3	5418019	5	83	Unknown	right:5
3	5418728	5	83	Unknown	right:5
3	5420847	5	99	Unknown	left:5
3	5421396	5	163	Unknown	right:5
3	5421551	5	99	Unknown	left:5
3	5421826	10	163	Forward	right:5, left:5
3	5424603	10	99	Reverse	right:5, left:5
3	5426676	10	99	Unknown	right:10
3	5426757	5	163	Unknown	right:5
3	5433136	10	99	Reverse	right:5, left:5
3	5434495	10	147	Unknown	right:10
3	5435567	5	163	Unknown	left:5
3	5450453	5	99	Unknown	left:5
3	5454235	5	99	Unknown	left:5
3	5456505	10	99	Reverse	right:5, left:5
3	5457844	10	163	Forward	right:5, left:5
3	5458869	5	99	Unknown	right:5
3	5461309	10	99	Reverse	right:5, left:5
3	5463222	5	83	Unknown	right:5
3	5463318	10	99	Reverse	right:5, left:5
3	5463403	5	83	Unknown	right:5
3	5463425	5	83	Unknown	right:5
3	5463923	5	163	Unknown	left:5
3	5466209	10	163	Forward	right:5, left:5
3	5470229	5	163	Unknown	right:5
3	5470265	10	99	Reverse	left:10
3	5471937	10	99	Reverse	both:10
3	5472516	5	147	Unknown	left:5
3	5474174	10	99	Reverse	right:5, left:5
3	5476062	5	99	Unknown	right:5
3	5478354	5	83	Unknown	right:5
3	5482843	20	163	Forward	right:10, left:10
3	5483041	5	83	Unknown	right:5
3	5485055	5	147	Unknown	right:5
3	5486665	5	83	Unknown	right:5
3	5486712	5	83	Unknown	right:5
3	5487104	5	163	Unknown	right:5
3	5488840	15	83	Uncertain or multiple	left:15
3	5489367	10	163	Forward	right:5, left:5
3	5496394	5	147	Unknown	left:5
3	5497906	5	83	Unknown	right:5
3	5500254	10	147	Reverse	left:5, right:5
3	5502168	10	147	Unknown	left:10
3	5508416	5	99	Unknown	left:5
3	5512467	10	163	Forward	right:5, left:5
3	5515269	5	99	Unknown	left:5
3	5516597	10	163	Forward	both:5, left:5
3	5517663	5	163	Unknown	right:5
3	5517701	5	163	Unknown	right:5
3	5517785	5	147	Unknown	left:5
3	5518628	15	99	Unknown	left:15
3	5518728	5	83	Unknown	right:5
3	5522943	5	99	Unknown	right:5
3	5525078	10	99	Reverse	both:5, left:5
3	5525173	5	147	Unknown	right:5
3	5525821	5	99	Unknown	left:5
3	5526259	5	83	Unknown	right:5
3	5530910	10	83	Forward	left:5, right:5
3	5531180	10	99	Unknown	left:10
3	5532957	5	99	Unknown	left:5
3	5534923	25	83	Unknown	right:25
3	5535412	5	99	Unknown	left:5
3	5535682	5	83	Unknown	right:5
3	5540205	5	163	Unknown	right:5
3	5540271	5	147	Unknown	right:5
3	5543303	5	163	Unknown	right:5
3	5543382	5	147	Unknown	left:5
3	5544188	5	163	Unknown	left:5
3	5544990	10	163	Forward	right:5, left:5
3	5545932	10	83	Unknown	right:10
3	5548125	5	99	Unknown	left:5
3	5548852	5	83	Unknown	right:5
3	5556772	5	147	Unknown	left:5
3	5560227	5	99	Unknown	left:5
3	5565002	5	163	Unknown	right:5
3	5565045	10	147	Uncertain or multiple	left:10
3	5565338	5	147	Unknown	left:5
3	5565727	5	83	Unknown	right:5
3	5566637	5	99	Unknown	right:5
3	5566782	5	99	Unknown	right:5
3	5566811	5	147	Unknown	left:5
3	5567278	10	99	Reverse	right:5, left:5
3	5567456	10	99	Reverse	right:5, left:5
3	5567583	15	99	Reverse	right:10, left:5
3	5568224	5	99	Unknown	right:5
3	5568423	15	99	Unknown	right:15
3	5568451	5	99	Unknown	right:5
3	5568469	5	163	Unknown	right:5
3	5568481	5	99	Unknown	right:5
3	5568501	10	99	Unknown	right:10
3	5568545	45	147	Uncertain or multiple	left:45
3	5570574	5	163	Unknown	right:5
3	5571370	5	83	Unknown	right:5
3	5575021	5	163	Unknown	right:5
3	5578620	5	163	Unknown	right:5
3	5580828	10	83	Forward	left:5, right:5
3	5585871	10	83	Uncertain or multiple	left:10
3	5586486	5	83	Unknown	right:5
3	5587860	5	163	Unknown	right:5
3	5589054	10	147	Reverse	left:5, right:5
3	5591718	5	81	Unknown	left:5
3	5593784	5	83	Unknown	right:5
3	5597436	5	83	Unknown	left:5
3	5598386	5	147	Unknown	left:5
3	5599119	5	163	Unknown	right:5
3	5603876	10	83	Uncertain or multiple	left:10
3	5604129	5	83	Unknown	right:5
3	5604286	10	163	Unknown	left:10
3	5604728	5	99	Unknown	right:5
3	5604863	10	99	Reverse	left:10
3	5604956	5	99	Unknown	left:5
3	5608201	10	163	Forward	right:5, left:5
3	5608953	10	147	Unknown	left:10
3	5616557	5	147	Unknown	right:5
3	5617096	5	83	Unknown	right:5
3	5620972	5	147	Unknown	right:5
3	5623562	5	163	Unknown	left:5
3	5624876	5	83	Unknown	right:5
3	5625314	10	163	Forward	right:5, left:5
3	5625989	5	163	Unknown	right:5
3	5626068	30	83	Uncertain or multiple	left:30
3	5626279	10	83	Forward	left:5, right:5
3	5627587	5	99	Unknown	right:5
3	5630570	15	147	Reverse	right:5, left:10
3	5630608	5	99	Unknown	left:5
3	5633378	5	83	Unknown	left:5
3	5640082	5	99	Unknown	left:5
3	5644767	5	163	Unknown	right:5
3	5644825	15	99	Unknown	left:10, both:5
3	5646594	5	83	Unknown	right:5
3	5648026	5	147	Unknown	left:5
3	5648063	15	99	Unknown	left:15
3	5649498	5	83	Unknown	left:5
3	5652629	20	83	Forward	left:10, right:10
3	5653768	10	83	Forward	left:5, right:5
3	5655211	5	83	Unknown	right:5
3	5659898	10	147	Reverse	left:5, right:5
3	5662357	5	163	Unknown	right:5
3	5665203	10	163	Forward	right:5, left:5
3	5670121	10	163	Forward	right:5, left:5
3	5674332	10	83	Forward	left:5, right:5
3	5676866	10	83	Unknown	left:10
3	5688165	10	147	Reverse	left:5, right:5
3	5691970	5	99	Unknown	left:5
3	5694108	5	83	Unknown	right:5
3	5697333	10	99	Reverse	right:5, left:5
3	5700482	5	99	Unknown	left:5
3	5711666	5	83	Unknown	right:5
3	5711767	5	83	Unknown	right:5
3	5712152	20	163	Forward	right:10, left:10
3	5714418	15	147	Reverse	left:10, right:5
3	5718607	5	177	Unknown	left:5
3	5720763	5	83	Unknown	left:5
3	5720813	10	99	Reverse	right:5, left:5
3	5723433	10	99	Unknown	left:10
3	5723569	5	147	Unknown	left:5
3	5725795	5	163	Unknown	right:5
3	5725805	15	147	Uncertain or multiple	left:15
3	5726190	5	147	Unknown	left:5
